frame,site,root,family,is_bright_root,expected_bright_root,mapping_preserved,energy_au,energy_eV,fosc,vacuum_energy_eV_same_root,solvent_shift_meV_same_root,source_output
13,PYR3,2,bright_like,True,2,True,0.149727,4.074,0.499481109,4.081,-7.000000000000561,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR3_embedding/frame013_PYR3_embedding.out
13,PYR4,1,alternate_like,False,2,True,0.148132,4.031,0.001159019,4.015,16.000000000000014,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR4_embedding/frame013_PYR4_embedding.out
13,PYR4,2,bright_like,True,2,True,0.150739,4.102,0.510445336,4.089,12.9999999999999,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR4_embedding/frame013_PYR4_embedding.out
13,PYR5,1,bright_like,True,1,True,0.139029,3.783,0.661990456,3.78,3.0000000000001137,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR5_embedding/frame013_PYR5_embedding.out
13,PYR5,2,alternate_like,False,1,True,0.140987,3.836,0.010824666,3.846,-10.000000000000231,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame013_PYR5_embedding/frame013_PYR5_embedding.out
14,PYR2,1,alternate_like,False,2,True,0.147265,4.007,0.001843934,4.001,5.999999999999339,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR2_embedding/frame014_PYR2_embedding.out
14,PYR2,2,bright_like,True,2,True,0.150396,4.092,0.504494792,4.09,1.9999999999997797,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR2_embedding/frame014_PYR2_embedding.out
14,PYR3,1,alternate_like,False,2,True,0.147521,4.014,0.010112929,4.001,12.9999999999999,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR3_embedding/frame014_PYR3_embedding.out
14,PYR3,2,bright_like,True,2,True,0.150519,4.096,0.500472478,4.081,14.99999999999968,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR3_embedding/frame014_PYR3_embedding.out
14,PYR4,1,alternate_like,False,2,True,0.1462,3.978,0.005349326,4.015,-36.999999999999474,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR4_embedding/frame014_PYR4_embedding.out
14,PYR4,2,bright_like,True,2,True,0.14954,4.069,0.50755834,4.089,-20.000000000000462,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR4_embedding/frame014_PYR4_embedding.out
14,PYR5,1,bright_like,True,1,True,0.139109,3.785,0.634868449,3.78,5.0000000000003375,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR5_embedding/frame014_PYR5_embedding.out
14,PYR5,2,alternate_like,False,1,True,0.141238,3.843,0.037666572,3.846,-3.0000000000001137,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame014_PYR5_embedding/frame014_PYR5_embedding.out
