atom,name,r_ref_nm,r_cur_nm,delta_r_nm
217,B0217,1.20590,1.21729,0.01139
218,N0218,1.20671,1.22487,0.01816
219,B0219,1.20638,1.23825,0.03187
220,N0220,1.20770,1.24497,0.03727
221,B0221,1.20455,1.25474,0.05019
222,N0222,1.20671,1.24465,0.03793
223,B0223,1.20527,1.23280,0.02754
224,N0224,1.20627,1.21979,0.01352
225,B0225,1.20465,1.21536,0.01072
226,N0226,1.20563,1.19848,-0.00715
227,B0227,1.20566,1.21514,0.00949
228,N0228,1.20748,1.19594,-0.01154
229,B0229,1.20640,1.20094,-0.00546
230,N0230,1.20780,1.19891,-0.00888
231,B0231,1.20583,1.21475,0.00893
232,N0232,1.20798,1.22558,0.01760
233,B0233,1.20503,1.20645,0.00141
234,N0234,1.20727,1.21859,0.01132
235,B0235,1.20565,1.17622,-0.02943
