component_index,n_atoms,n_edges,is_tree,n_B,n_N,n_degree_1,n_degree_2,n_degree_other,minimum_atom_id,maximum_atom_id,center_x_A,center_y_A,center_z_A,center_r_A,center_phi_rad,minimum_z_A,maximum_z_A,z_span_A
156,60,59,True,30,30,2,58,0,156,17148,59.269600000000054,84.64570000000002,5.447494307494102e-15,103.33334414723066,0.9599307494444865,-100.0,100.0,200.0
157,60,59,True,30,30,2,58,0,157,17149,51.66670000000008,89.4893000000001,5.447494307494102e-15,103.33335716688985,1.0471973118768838,-100.0,100.0,200.0
158,60,59,True,30,30,2,58,0,158,17150,43.67059999999996,93.65179999999994,5.447494307494102e-15,103.33334867118158,1.1344635887672636,-100.0,100.0,200.0
159,60,59,True,30,30,2,58,0,159,17151,35.34210000000002,97.10159999999998,5.447494307494102e-15,103.33336709393534,1.2217304045516097,-100.0,100.0,200.0
160,60,59,True,30,30,2,58,0,160,17152,26.744599999999995,99.8122999999999,5.447494307494102e-15,103.333290184964,1.3089971743672877,-100.0,100.0,200.0
161,60,59,True,30,30,2,58,0,161,17153,17.94359999999998,101.76299999999995,5.447494307494102e-15,103.33286481057219,1.396263044564522,-100.0,100.0,200.0
162,60,59,True,30,30,2,58,0,162,17154,9.006089999999984,102.93999999999988,5.447494307494102e-15,103.33321468476666,1.483529796936137,-100.0,100.0,200.0
163,60,59,True,30,30,2,58,0,163,17155,0.0,103.33299999999991,5.447494307494102e-15,103.33299999999991,1.5707963267948966,-100.0,100.0,200.0
164,60,59,True,30,30,2,58,0,164,17156,-9.006089999999984,102.93999999999988,5.447494307494102e-15,103.33321468476666,1.6580628566536564,-100.0,100.0,200.0
165,60,59,True,30,30,2,58,0,165,17157,-17.94359999999998,101.76299999999995,5.447494307494102e-15,103.33286481057219,1.745329609025271,-100.0,100.0,200.0
166,60,59,True,30,30,2,58,0,166,17158,-26.744599999999995,99.8122999999999,5.447494307494102e-15,103.333290184964,1.8325954792225057,-100.0,100.0,200.0
167,60,59,True,30,30,2,58,0,167,17159,-35.34210000000002,97.10159999999998,5.447494307494102e-15,103.33336709393534,1.9198622490381836,-100.0,100.0,200.0
